date,cyclists,April,August,December,February,January,July,June,March,May,November,October,September,Weekday,Weekend,trend,mean_temp,percip(mm),Holiday,rain_binary,forecast_rain,forecast_temp,forecast_percip
2019-01-01,605,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,3.9,0,1,0,0,0,0
2019-01-02,1077,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,4.7,9.7,0,1,0,0,0
2019-01-03,713,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,7.9,49.6,0,1,0,0,0
2019-01-04,1399,0,0,0,0,1,0,0,0,0,0,0,0,1,0,4,8.6,4.2,0,1,0,0,0
2019-01-05,775,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5,8.3,0,0,0,0,0,0
2019-01-06,698,0,0,0,0,1,0,0,0,0,0,0,0,0,1,6,6.8,4.4,0,1,0,0,0
2019-01-07,1786,0,0,0,0,1,0,0,0,0,0,0,0,1,0,7,5.1,0,0,0,0,0,0
2019-01-08,1417,0,0,0,0,1,0,0,0,0,0,0,0,1,0,8,5.3,0,0,0,0,0,0
2019-01-09,1479,0,0,0,0,1,0,0,0,0,0,0,0,1,0,9,7.5,0.5,0,1,0,0,0
2019-01-10,1690,0,0,0,0,1,0,0,0,0,0,0,0,1,0,10,9.3,1.6,0,1,0,0,0
2019-01-11,1680,0,0,0,0,1,0,0,0,0,0,0,0,1,0,11,9.7,0,0,0,0,0,0
2019-01-12,1243,0,0,0,0,1,0,0,0,0,0,0,0,0,1,12,8.7,0,0,0,0,0,0
2019-01-13,1415,0,0,0,0,1,0,0,0,0,0,0,0,0,1,13,7.6,0,0,0,0,0,0
2019-01-14,1849,0,0,0,0,1,0,0,0,0,0,0,0,1,0,14,6,0,0,0,0,0,0
2019-01-15,1853,0,0,0,0,1,0,0,0,0,0,0,0,1,0,15,5.7,0,0,0,0,0,0
2019-01-16,1732,0,0,0,0,1,0,0,0,0,0,0,0,1,0,16,5.5,0,0,0,0,0,0
2019-01-17,1594,0,0,0,0,1,0,0,0,0,0,0,0,1,0,17,8,5.6,0,1,0,0,0
2019-01-18,1370,0,0,0,0,1,0,0,0,0,0,0,0,1,0,18,8.7,3,0,1,0,0,0
2019-01-19,723,0,0,0,0,1,0,0,0,0,0,0,0,0,1,19,8.6,1,0,1,0,0,0
2019-01-20,973,0,0,0,0,1,0,0,0,0,0,0,0,0,1,20,5.5,0,0,0,0,0,0
2019-01-21,1603,0,0,0,0,1,0,0,0,0,0,0,0,1,0,21,4.3,0,0,0,0,0,0
2019-01-22,1316,0,0,0,0,1,0,0,0,0,0,0,0,1,0,22,5.9,22.8,0,1,0,0,0
2019-01-23,1740,0,0,0,0,1,0,0,0,0,0,0,0,1,0,23,8.1,5.6,0,1,0,0,0
2019-01-24,1770,0,0,0,0,1,0,0,0,0,0,0,0,1,0,24,7.3,0,0,0,0,0,0
2019-01-25,1638,0,0,0,0,1,0,0,0,0,0,0,0,1,0,25,6.8,0,0,0,0,0,0
2019-01-26,1055,0,0,0,0,1,0,0,0,0,0,0,0,0,1,26,6.4,0,0,0,0,0,0
2019-01-27,955,0,0,0,0,1,0,0,0,0,0,0,0,0,1,27,6.3,0,0,0,0,0,0
2019-01-28,1861,0,0,0,0,1,0,0,0,0,0,0,0,1,0,28,6.3,0,0,0,0,0,0
2019-01-29,2053,0,0,0,0,1,0,0,0,0,0,0,0,1,0,29,6,0,0,0,0,0,0
2019-01-30,1893,0,0,0,0,1,0,0,0,0,0,0,0,1,0,30,5.1,0,0,0,0,0,0
2019-01-31,1757,0,0,0,0,1,0,0,0,0,0,0,0,1,0,31,6.4,0,0,0,0,0,0
2019-02-01,1121,0,0,0,1,0,0,0,0,0,0,0,0,1,0,32,7.6,4.2,0,1,0,0,0
2019-02-02,942,0,0,0,1,0,0,0,0,0,0,0,0,0,1,33,6.8,0.2,0,1,0,0,0
2019-02-03,407,0,0,0,1,0,0,0,0,0,0,0,0,0,1,34,0.5,0.6,0,1,0,0,0
2019-02-04,507,0,0,0,1,0,0,0,0,0,0,0,0,1,0,35,-2.7,0,0,0,0,0,0
2019-02-05,965,0,0,0,1,0,0,0,0,0,0,0,0,1,0,36,-1.6,0,0,0,0,0,0
2019-02-06,1240,0,0,0,1,0,0,0,0,0,0,0,0,1,0,37,-0.3,0,0,0,0,0,0
2019-02-07,1102,0,0,0,1,0,0,0,0,0,0,0,0,1,0,38,0.4,0,0,0,0,0,0
2019-02-08,559,0,0,0,1,0,0,0,0,0,0,0,0,1,0,39,0.7,4.1,0,1,0,0,0
2019-02-09,79,0,0,0,1,0,0,0,0,0,0,0,0,0,1,40,-1.3,0.2,0,1,0,0,0
2019-02-10,133,0,0,0,1,0,0,0,0,0,0,0,0,0,1,41,-1.1,3.2,0,1,0,0,0
2019-02-11,125,0,0,0,1,0,0,0,0,0,0,0,0,1,0,42,-1.5,14.8,0,1,0,0,0
2019-02-12,25,0,0,0,1,0,0,0,0,0,0,0,0,1,0,43,-0.1,8.4,0,1,0,0,0
2019-02-13,83,0,0,0,1,0,0,0,0,0,0,0,0,1,0,44,0.9,1.8,0,1,0,0,0
2019-02-14,86,0,0,0,1,0,0,0,0,0,0,0,0,1,0,45,1.2,3.9,0,1,0,0,0
2019-02-15,223,0,0,0,1,0,0,0,0,0,0,0,0,1,0,46,3.8,0.7,0,1,0,0,0
2019-02-16,245,0,0,0,1,0,0,0,0,0,0,0,0,0,1,47,4.1,2.6,0,1,0,0,0
2019-02-17,524,0,0,0,1,0,0,0,0,0,0,0,0,0,1,48,4.7,0.2,0,1,0,0,0
2019-02-18,536,0,0,0,1,0,0,0,0,0,0,0,0,1,0,49,2.9,0,1,0,0,0,0
2019-02-19,974,0,0,0,1,0,0,0,0,0,0,0,0,1,0,50,4.2,1,0,1,0,0,0
2019-02-20,1312,0,0,0,1,0,0,0,0,0,0,0,0,1,0,51,3.5,0,0,0,0,0,0
2019-02-21,1473,0,0,0,1,0,0,0,0,0,0,0,0,1,0,52,4.1,0,0,0,0,0,0
2019-02-22,1158,0,0,0,1,0,0,0,0,0,0,0,0,1,0,53,4.9,3,0,1,0,0,0
2019-02-23,723,0,0,0,1,0,0,0,0,0,0,0,0,0,1,54,5.1,0,0,0,0,0,0
2019-02-24,577,0,0,0,1,0,0,0,0,0,0,0,0,0,1,55,4.5,0.9,0,1,0,0,0
2019-02-25,1226,0,0,0,1,0,0,0,0,0,0,0,0,1,0,56,3,0,0,0,0,0,0
2019-02-26,1321,0,0,0,1,0,0,0,0,0,0,0,0,1,0,57,2,0,0,0,0,0,0
2019-02-27,1351,0,0,0,1,0,0,0,0,0,0,0,0,1,0,58,3.8,0,0,0,0,0,0
2019-02-28,1483,0,0,0,1,0,0,0,0,0,0,0,0,1,0,59,3.1,0,0,0,0,0,0
2019-03-01,1485,0,0,0,0,0,0,0,1,0,0,0,0,1,0,60,4.2,0,0,0,0,0,0
2019-03-02,990,0,0,0,0,0,0,0,1,0,0,0,0,0,1,61,3.1,0,0,0,0,0,0
2019-03-03,1084,0,0,0,0,0,0,0,1,0,0,0,0,0,1,62,3.6,0,0,0,0,0,0
2019-03-04,1706,0,0,0,0,0,0,0,1,0,0,0,0,1,0,63,2.9,0,0,0,0,0,0
2019-03-05,1781,0,0,0,0,0,0,0,1,0,0,0,0,1,0,64,3.2,0,0,0,0,0,0
